URL,Title,Click Depth,Inbound Links,Outbound Internal,Outbound External,Status
/,Telegram账号购买_TG成品号/老号/飞机号自助下单平台 - TGMai.top (24h自动发货),0,667,21,0,200
/about,关于我们 - TGMai.top | 全球领先的数字资产服务商,1,27,33,0,200
/blog,博客 - 使用教程与资讯 | TGMai,1,96,54,0,200
/blog/telegram-bot-guide,Telegram Bot 全面指南：从入门到精通（功能、创建与应用场景） - TGMai Blog,1,6,43,0,200
/blog/telegram-proxy-setup-guide,Telegram Proxy 怎么用？ 最新 SOCKS5/MTProto 代理设置与避坑指南 - TGMai Blog,1,10,42,0,200
/blog/telegram-register-with-chinese-number,Telegram能用中国手机号(+86)注册吗？ 最新实测与解决方案 - TGMai Blog,1,9,45,0,200
/blog/telegram-use-proxy-guide,Telegram Use Proxy 怎么填？ 最新电报代理填写与设置教程 - TGMai Blog,1,8,39,0,200
/blog/tg-account-banned,Telegram 账号被封禁怎么办？ 最新解封申诉与防封全攻略 - TGMai Blog,1,51,42,0,200
/go/support,联系客服 - TGMai,1,26,1,0,200
/privacy-terms,隐私政策与服务条款 - TGMai.top,1,53,31,0,200
/sitemap,网站地图 (Sitemap) - TGMai.top,1,26,63,0,200
/blog/telegram-account-appeal-guide,Telegram账号被冻结怎么办？ 最新申诉解封与Bot防封指南 - TGMai Blog,2,10,42,0,200
/blog/telegram-account-guide,Telegram 账号全攻略：注册、防封与商业化指南 - TGMai Blog,2,14,44,0,200
/blog/telegram-account-recovery,Telegram 账号丢失怎么办？ 最新找回教程 (忘记密码/手机号注销) - TGMai Blog,2,3,42,0,200
/blog/telegram-android-download,Telegram安卓版下载指南：官方APK与Google Play更新教程 (最新版) - TGMai Blog,2,9,41,0,200
/blog/telegram-delete-account,Telegram 如何注销账号？ 最新手机/网页版永久删除教程 - TGMai Blog,2,8,44,0,200
/blog/telegram-hide-phone-number,电报(Telegram)如何隐藏手机号？最新隐私设置教程保护个人信息 - TGMai Blog,2,6,43,0,200
/blog/telegram-id-check-guide,Telegram ID 怎么看？ 最新查询教程 (手机/电脑/网页版) - TGMai Blog,2,7,45,0,200
/blog/telegram-login-issues,Telegram 账号登不上去怎么办？ 最新登录失败排查指南 - TGMai Blog,2,7,43,0,200
/blog/telegram-mutual-contact-limit,Telegram“双向限制”是什么意思？ 最新解除私聊限制教程 - TGMai Blog,2,6,43,0,200
/blog/telegram-no-verification-code,Telegram 收不到验证码？ 最新解决办法汇总 - TGMai Blog,2,8,43,0,200
/blog/telegram-passkey-guide,Telegram 通行密钥 (Passkey) 怎么设置？告别短信验证码，一键安全登录 - TGMai Blog,2,9,43,0,200
/blog/telegram-premium-guide,Telegram Premium 会员全解析：功能权益、开通教程与性价比分析 - TGMai Blog,2,11,43,0,200
/blog/telegram-sms-fee-solution,Telegram SMS Fee是什么？8种方法解决登录需付费问题 - TGMai Blog,2,8,47,0,200
/blog/telegram-usage-guide,Telegram 新手入门指南：汉化设置、核心功能与避坑防骗 - TGMai Blog,2,3,45,0,200
/blog/telegram-vs-telegram-x,Telegram X 与 Telegram 区别在哪？ 最新功能对比与选择指南 - TGMai Blog,2,8,41,0,200
/blog/tg-chinese-pack,Telegram 汉化教程： 最新中文设置指南 (手机/电脑通用) - TGMai Blog,2,7,41,0,200
/go/buy,Redirecting...,Orphan,1,0,0,200
/section,Unknown,Orphan,0,0,0,200
